Publication,Authors,Journal,Year
Chromosomal location and gene paucity of the male specific region on papaya Y chromosome ," Q Yu, S Hou, R Hobza, FA Feltus, X Wang, W Jin, RL Skelton, A Blas, ... "," Molecular Genetics and Genomics 278, 177-185",2007
Microcolinearity and genome evolution in the AdhA region of diploid and polyploid cotton (Gossypium) ," CE Grover, HR Kim, RA Wing, AH Paterson, JF Wendel "," The Plant Journal 50 (6), 995-1006",2007
Extensive concerted evolution of rice paralogs and the road to regaining independence ," X Wang, H Tang, JE Bowers, FA Feltus, AH Paterson "," Genetics 177 (3), 1753-1763",2007
Characterization of terminal-repeat retrotransposon in miniature (TRIM) in Brassica relatives ," TJ Yang, SJ Kwon, BS Choi, JS Kim, M Jin, KB Lim, JY Park, JA Kim, ... "," Theoretical and applied genetics 114, 627-636",2007
Peanut ," SL Dwivedi, DJ Bertioli, JH Crouch, JF Valls, HD Upadhyaya, A Fávero, ... "," Oilseeds, 115-151",2007
Leveraging the rice genome sequence for monocot comparative and translational genomics ," HC Lohithaswa, FA Feltus, HP Singh, CD Bacon, CD Bailey, AH Paterson "," Theoretical and applied genetics 115, 237-243",2007
Recent advances and future prospective in molecular breeding of cotton for drought and salinity stress tolerance ," EL Lubbers, PW Chee, Y Saranga, AH Paterson "," Advances in molecular breeding toward drought and salt tolerant crops, 775-796",2007
Integrative Mapping of Gossypium hirsutum L. by Meiotic Fluorescent in Situ Hybridization of a Tandemly Repetitive Sequence (B77) ," Y Ji, X Zhao, AH Paterson, HJ Price, DM Stelly "," Genetics 176 (1), 115-123",2007
Experimental validation of inter-subspecific genetic diversity in rice represented by the differences between the DNA sequences of ‘Nipponbare’and ‘93-11’ ," HW Mei, FJ Feng, BR Lu, WW Wen, AH Paterson, XX Cai, L Chen, ... "," Chinese science bulletin 52 (10), 1327-1337",2007
Experimental validation of inter-subspecific genetic diversity in rice represented by the differences between the DNA sequences of ‘Nipponbare’and ‘93-11’ ," HW Mei, FJ Feng, BR Lu, WW Wen, AH Paterson, XX Cai, L Chen, ... "," Chinese science bulletin 52 (10), 1327-1337",2007
Sequencing the cotton genomes , AH Paterson ," Proceedings of the 4th World Cotton Research Conference (WCRC’07), 2154",2007
Genetics of complex traits-Meta-analysis of polyploid cotton QTL shows unequal contributions of subgenomes to a complex network of genes and gene clusters implicated in lint … ," J Rong, FA Feltus, VN Waghmare, GJ Pierce, PW Chee, X Draye, ... "," Genetics 176 (4), 2577-2588",2007
Ancient Polyploidy and Modem Crop Plants , AH Paterson ," 分子植物育種 5 (2), 151-151",2007
Confirmation of a Fiber Length QTL on Chromosome 1 of Cotton ," PW Chee, X Shen, E Lubbers, AH Paterson ", ,2007
Evaluation of Introgressed Chromatins in Sealand Cotton Cultivars ," P Kumar, EL Lubbers, S Walker, AH Paterson, PW Chee ", ,2007
"Positional Cloning Identified ESR2, ESRRB, BMP4 and LTBP2 as the Candidate Genes for the Quantitative Trait Locus In Chromosome 14 for BMD variation "," Z Dai, CL Cheung, PC Sham, VNY Chan, KDK Luk, A Paterson, ... ", Journal of Bone and Mineral Research,2007
Ancient polyploidy and modern crop plants , AH Paterson , Molecular Plant Breeding,2007
INVESTIGATIONS-Genome integrity and transmission-Integrative mapping of Gossypium hirsutum L. by meiotic fluorescent in situ hybridization of a tandemly repetitive sequence (B77) ," Y Ji, X Zhao, AH Paterson, HJ Price, DM Stelly "," Genetics 176 (1), 115-124",2007
The draft genome of the transgenic tropical fruit tree papaya (Carica papaya Linnaeus) ," R Ming, S Hou, Y Feng, Q Yu, A Dionne-Laporte, JH Saw, P Senin, ... "," Nature 452 (7190), 991-996",2008
Synteny and collinearity in plant genomes ," H Tang, JE Bowers, X Wang, R Ming, M Alam, AH Paterson "," Science 320 (5875), 486-488",2008
Evolutionary genetics of genome merger and doubling in plants ," JJ Doyle, LE Flagel, AH Paterson, RA Rapp, DE Soltis, PS Soltis, ... "," Annual review of genetics 42, 443-461",2008
Unraveling ancient hexaploidy through multiply-aligned angiosperm gene maps ," H Tang, X Wang, JE Bowers, R Ming, M Alam, AH Paterson "," Genome research 18 (12), 1944-1954",2008
"Finding and comparing syntenic regions among Arabidopsis and the outgroups papaya, poplar, and grape: CoGe with rosids "," E Lyons, B Pedersen, J Kane, M Alam, R Ming, H Tang, X Wang, ... "," Plant physiology 148 (4), 1772-1781",2008
Genomics of sorghum , AH Paterson , International Journal of Plant Genomics 2008,2008
Low X/Y divergence in four pairs of papaya sex‐linked genes ," Q Yu, S Hou, FA Feltus, MR Jones, JE Murray, O Veatch, C Lemke, ... "," The Plant Journal 53 (1), 124-132",2008
Recent origin of dioecious and gynodioecious Y chromosomes in papaya ," Q Yu, R Navajas-Pérez, E Tong, J Robertson, PH Moore, AH Paterson, ... "," Tropical Plant Biology 1, 49-57",2008
A phylogenetic analysis of indel dynamics in the cotton genus ," CE Grover, Y Yu, RA Wing, AH Paterson, JF Wendel "," Molecular Biology and Evolution 25 (7), 1415-1428",2008
Genomics of Cotton , AH Paterson , Springer,2008
Genomics of Cotton , AH Paterson , Springer,2008
Genome-wide analysis of repetitive elements in papaya ," N Nagarajan, R Navajas-Pérez, M Pop, M Alam, R Ming, AH Paterson, ... "," Tropical Plant Biology 1, 191-201",2008
Correspondence of trichome mutations in diploid and tetraploid cottons ," A Desai, PW Chee, OL May, AH Paterson "," Journal of Heredity 99 (2), 182-186",2008
Transcriptome analysis of leaf tissue from Bermudagrass (Cynodon dactylon) using a normalised cDNA library ," C Kim, CS Jang, TL Kamps, JS Robertson, FA Feltus, AH Paterson "," Functional Plant Biology 35 (7), 585-594",2008
"Genomics of sorghum, a semi-arid cereal and emerging model for tropical grass genomics "," AH Paterson, JE Bowers, FA Feltus "," Genomics of tropical crop plants, 469-482",2008
Novel nuclear intron‐spanning primers for Arecaceae evolutionary biology ," CD Bacon, FA Feltus, AH Paterson, CD Bailey "," Molecular ecology resources 8 (1), 211-214",2008
Inheritance and alteration of genome methylation in F1 hybrid rice ," T Takamiya, S Hosobuchi, T Noguchi, K Asai, E Nakamura, Y Habu, ... "," Electrophoresis 29 (19), 4088-4095",2008
The fruits of tropical plant genomics ," AH Paterson, P Felker, SP Hubbell, R Ming "," Tropical plant biology 1, 3-19",2008
Paleopolyploidy and its impact on the structure and function of modern plant genomes , AH Paterson ," Plant Genomes 4, 1-12",2008
Sequencing the cotton genomes—Gossypium spp , AH Paterson , Cotton Sci 20 (3),2008
Plant & Animal Genomes XVI Conference ," G Backbone, FA Feltus, RC Babu, B Courtois, S Hittalmani, HT Nguyen, ... ", ,2008
The greening of genomics , AH Paterson ," Nature 451 (7174), 19-19",2008
The greening of genomics , AH Paterson ," Nature 451 (7174), 19-19",2008
Synteny and Collinearity inPlant Genomes ," H Tang, JE Bowers, X Wang, R Ming, M Alam, AH Paterson ", ,2008
Current awareness in phytochemical analysis ," I Bombarda, N Dupuy, JP Le Van Da "," Analytica Chimica Acta 613, 31",2008
A Genetic Map of Gossypium hirsutum by Gossypium mustelinum , AH PATERSON , 棉花学报 1,2008
Comparative Transmission Genetics of Introgressed Chromatin in Gossypium Species ," VN WAGHMARE, CJ ROGERS, JE BOWERS, AH PATERSON ", 棉花学报 1,2008
Deciphering drought genomics: Integrating rice and maize phenotype data on the rice genome backbone ," AF Feltus, C Babu, B Courtois, S Hittalmani, HT Nguyen, AR Reddy, ... ", ,2008
The Sorghum bicolor genome and the diversification of grasses ," AH Paterson, JE Bowers, R Bruggmann, I Dubchak, J Grimwood, ... "," Nature 457 (7229), 551-556",2009
Polyploidy and angiosperm diversification ," DE Soltis, VA Albert, J Leebens‐Mack, CD Bell, AH Paterson, C Zheng, ... "," American journal of botany 96 (1), 336-348",2009
QUBIC: a qualitative biclustering algorithm for analyses of gene expression data ," G Li, Q Ma, H Tang, AH Paterson, Y Xu "," Nucleic acids research 37 (15), e101-e101",2009
Comparative Analysis between Homoeologous Genome Segments of Brassica napus and Its Progenitor Species Reveals Extensive Sequence-Level Divergence ," F Cheung, M Trick, N Drou, YP Lim, JY Park, SJ Kwon, JA Kim, R Scott, ... "," The Plant Cell 21 (7), 1912-1928",2009
Comparative genomic analysis of C4 photosynthetic pathway evolution in grasses ," X Wang, U Gowik, H Tang, JE Bowers, P Westhoff, AH Paterson "," Genome biology 10 (6), 1-18",2009
Gene loss and silencing in Tragopogon miscellus (Asteraceae): comparison of natural and synthetic allotetraploids ," RJA Buggs, AN Doust, JA Tate, J Koh, K Soltis, FA Feltus, AH Paterson, ... "," Heredity 103 (1), 73-81",2009
A physical map of the papaya genome with integrated genetic map and genome sequence ," Q Yu, E Tong, RL Skelton, JE Bowers, MR Jones, JE Murray, S Hou, ... "," BMC genomics 10 (1), 1-12",2009
Comparative inference of illegitimate recombination between rice and sorghum duplicated genes produced by polyploidization ," X Wang, H Tang, JE Bowers, AH Paterson "," Genome research 19 (6), 1026-1032",2009
Field evaluation of cotton near-isogenic lines introgressed with QTLs for productivity and drought related traits ," A Levi, AH Paterson, V Barak, D Yakir, B Wang, PW Chee, Y Saranga "," Molecular Breeding 23, 179-195",2009
Comparative genomics of grasses promises a bountiful harvest ," AH Paterson, JE Bowers, FA Feltus, H Tang, L Lin, X Wang "," Plant physiology 149 (1), 125-131",2009
"Molecular biogeographic study of recently described B- and A-genome Arachis species, also providing new insights into the origins of cultivated peanut "," MD Burow, CE Simpson, MW Faries, JL Starr, AH Paterson "," Genome 52 (2), 107-119",2009
Photosynthesis of cotton near-isogenic lines introgressed with QTLs for productivity and drought related traits ," A Levi, L Ovnat, AH Paterson, Y Saranga "," Plant Science 177 (2), 88-96",2009
Sugarcane ," SM Brumbley, SJ Snyman, A Gnanasambandam, P Joyce, SR Hermann, ... "," Compendium of Transgenic Crop Plants, 1-58",2009
A recommendation for naming transcription factor proteins in the grasses ," J Gray, M Bevan, T Brutnell, CR Buell, K Cone, S Hake, D Jackson, ... "," Plant physiology 149 (1), 4-6",2009
"Sixty Million Years in Evolution of Soft Grain Trait in Grasses: Emergence of the Softness Locus in the Common Ancestor of Pooideae and Ehrhartoideae, after their … "," M Charles, H Tang, H Belcram, A Paterson, P Gornicki, B Chalhoub "," Molecular Biology and Evolution 26 (7), 1651-1661",2009
Complexity of genome evolution by segmental rearrangement in Brassica rapa revealed by sequence-level analysis ," M Trick, SJ Kwon, SR Choi, F Fraser, E Soumpourou, N Drou, Z Wang, ... "," Bmc Genomics 10 (1), 1-16",2009
Evolutionary fate of rhizome-specific genes in a non-rhizomatous Sorghum genotype ," CS Jang, TL Kamps, H Tang, JE Bowers, C Lemke, AH Paterson "," Heredity 102 (3), 266-273",2009
"Gossypium DNA Markers: Types, Numbers, and Uses "," Y Zafar, AH Paterson "," Genetics and genomics of cotton, 101-139",2009
Genetics and genomics of cotton ," JF Wendel, C Brubaker, I Alvarez, R Cronn, JM Stewart, EL Lubbers ", Plant genetics and genomics Volume 3,2009
Duplication and divergence of grass genomes: integrating the chloridoids ," C Kim, H Tang, AH Paterson "," Tropical Plant Biology 2, 51-62",2009
Functional dissection of drought-responsive gene expression patterns in Cynodon dactylon L. ," C Kim, C Lemke, AH Paterson "," Plant molecular biology 70, 1-16",2009
Bridging classical and molecular genetics of abiotic stress resistance in cotton ," Y Saranga, AH Paterson, A Levi "," Genetics and genomics of cotton, 337-352",2009
Patterns of tandem repetition in plant whole genome assemblies ," R Navajas-Pérez, AH Paterson "," Molecular Genetics and Genomics 281, 579-590",2009
The Application of Restriction Landmark Genome Scanning Method for Surveillance of Non-Mendelian Inheritance in Hybrids ," T Takamiya, S Hosobuchi, T Noguchi, AH Paterson, H Iijima, Y Murakami, ... ", International Journal of Genomics 2009,2009
Rhizomatousness: genes important for a weediness syndrome , AH Paterson ," Weedy and Invasive Plant Genomics, 99-112",2009
Comparative genomics in crop plants , AH Paterson ," Molecular Techniques in Crop Improvement: 2nd Edition, 23-61",2009
Comparative Genomics of Cotton and Arabidopsis ," J Rong, AH Paterson "," Genetics and Genomics of Cotton, 431-449",2009
Sequence heterogeneity of theenvelope-like domain in cultivated allotetraploidGossypium species and their diploid progenitors ," EE Hafez, AA Abdel Ghany, AH Paterson, EA Zaki "," Journal of applied genetics 50, 17-23",2009
Plant genome mapping: strategies and applications , AH Paterson ," Biotechnology, VII. Patil, RM et al",2009
Physical Composition and Organization of the Gossypium Genomes ," L Lin, AH Paterson "," Genetics and Genomics of Cotton, 141-155",2009
Toward Characterizing the Spectrum of Diversity in the Gossypium Genus , AH Paterson ," Genetics and Genomics of Cotton, 483-491",2009
Comparative genomics on avian coronaviruses; origin and divergence associated with host and pathogenic shifts. ," MW Jackwood, AH Paterson, JC Kissinger, AD Hilt, AW McCall, ... ", VI International Symposium on Avian Corona-and Pneumoviruses and …,2009
A close-to optimum bi-clustering algorithm for microarray gene expression data ," G Li, Q Ma, B Liu, H Tang, AH Paterson, Y Xu "," Proc LSS Comput Syst Bioinform 8, 139-49",2009
"Resources for study of diversity and divergence in Sorghum, a C4 cereal model ", A Paterson ," USDOE Joint Genome Institute (JGI), Berkeley, CA (United States)",2009
Sequence heterogeneity of theenvelope-like domain in cultivated allotetraploidGossypium species and their diploid progenitors ," EE Hafez, AA Abdel Ghany, AH Paterson, EA Zaki "," Journal of applied genetics 50 (1), 17-23",2009
The Comparative Genomics of Orphan Crops ," AH Paterson, BK Mashope, L Lin "," ATDF JOURNAL 6 (3/4), 16",2009
Increased food and ecosystem security via perennial grains ," JD Glover, JP Reganold, LW Bell, J Borevitz, EC Brummer, ES Buckler, ... "," Science 328 (5986), 1638-1639",2010
Angiosperm genome comparisons reveal early polyploidy in the monocot lineage ," H Tang, JE Bowers, X Wang, AH Paterson "," Proceedings of the National Academy of Sciences 107 (1), 472-477",2010
Sugarcane improvement through breeding and biotechnology ," R Ming, PH Moore, KK Wu, A D’Hont, JC Glaszmann, TL Tew, TE Mirkov, ... "," Plant breeding reviews 27, 15-118",2010
Insights from the comparison of plant genome sequences ," AH Paterson, M Freeling, H Tang, X Wang "," Annual review of plant biology 61, 349-372",2010
Microcollinearity between autopolyploid sugarcane and diploid sorghum genomes ," J Wang, B Roe, S Macmil, Q Yu, JE Murray, H Tang, C Chen, F Najar, ... "," BMC genomics 11 (1), 1-17",2010
Emergence of a group 3 coronavirus through recombination ," MW Jackwood, TO Boynton, DA Hilt, ET McKinley, JC Kissinger, ... "," Virology 398 (1), 98-108",2010
Domestication and plant genomes ," H Tang, U Sezen, AH Paterson "," Current opinion in plant biology 13 (2), 160-166",2010
A draft physical map of a D-genome cotton species (Gossypium raimondii) ," L Lin, GJ Pierce, JE Bowers, JC Estill, RO Compton, LK Rainville, C Kim, ... "," BMC genomics 11, 1-17",2010
Gene copy number evolution during tetraploid cotton radiation ," J Rong, FA Feltus, L Liu, L Lin, AH Paterson "," Heredity 105 (5), 463-472",2010
Comparative mapping of plant phenotypes , AH Paterson ," Plant Breeding Reviews 14, 13-37",2010
A comparative assessment of the utility of PCR-based marker systems in pearl millet ," M Thudi, S Senthilvel, A Bottley, C Tom Hash, AR Reddy, AF Feltus, ... "," Euphytica 174, 253-260",2010
Structural genomics and genome sequencing ," A Paterson, G Souza, MV Sluys, R Ming, A D’Hont, R Henry, C KOLE "," Genetics, genomics and breeding of sugarcane, 149-165",2010
"reganold, JP, Bell, lw, Borevitz, J ", J Glover ," Brummer, eC, Buckler, es, Cox, CM, Cox, ts, Crews, te, Culman, sw, deHaan …",2010
Fruit characters among apomicts and sexual progeny of a cross of the Texas native Opuntia lindheimerii (1250) with a commercial fruit type Opuntia ficus–indica (1281) ," P Felker, R Zapata, X Wang, D Medina, R Bunch, A Paterson "," Journal of the Professional Association for Cactus Development 12, 48-66",2010
Sequencing and Utilization of the Gossypium Genomes ," AH Paterson, J Rong, AR Gingle, PW Chee, ES Dennis, D Llewellyn, ... "," Tropical Plant Biology 3, 71-74",2010
Identification and Mapping of Nucleotide Binding Site–Leucine-rich Repeat Resistance Gene Analogs in Bermudagrass ," KR Harris, BM Schwartz, AH Paterson, JA Brady "," Journal of the American Society for Horticultural Science 135 (1), 74-82",2010
Perennial Questions of Hydrology and Climate—Response ," JD Glover, JP Reganold, LW Bell, J Borevitz, EC Brummer, ES Buckler, ... "," Science 330 (6000), 33-34",2010
Cotton genomics , AH Paterson ," Cotton: Biotechnological Advances, 45-63",2010
Methods and constructs for producing transgenic plants and methods of recovering expressed proteins ," TE Mirkov, A Paterson, M Yang "," US Patent 7,816,506",2010
Microcollinearity between diploid sorghum and autopolyploid sugarcane genomes ," J Wang, B Roe, S Macmil, J Murray, H Tang, F Najar, G Wiley, JE Bowers, ... "," BMC Genomics 11, 261",2010
"The sugarcane genome sequencing effort: an overview of the strategy, goals and existing data "," GM Souza, R Ming, RJ Henry, A D'Hont, B Potier, A Paterson ", Plant and Animal Genomes XVIII Conference,2010
同源多倍体甘蔗和二倍体高粱基因组间的微共线性 ," Q Yu, S Macmil, J Wang, B Roe, JE Murray, H Tang, C Chen, F Najar, ... ", 基因组学与应用生物学 29,2010
Research article A draft physical map of a D-genome cotton species (Gossypium raimondii) ," L Lin, GJ Pierce, JE Bowers, JC Estill, RO Compton, LK Rainville, C Kim, ... ", ,2010
Research article Microcollinearity between autopolyploid sugarcane and diploid sorghum genomes ," J Wang, B Roe, S Macmil, Q Yu, JE Murray, H Tang, C Chen, F Najar, ... ", ,2010
同源多倍体甘蔗和二倍体高粱基因组间的微共线性 ," J Wang, B Roe, S Macmil, Q Yu, JE Murray, H Tang, C Chen, F Najar, ... ", Genomics and Applied Biology (Online) 29,2010
Molecular Biology-Biotechnology-Identification and Mapping of Nucleotide Binding Site-Leucine-rich Repeat Resistance Gene Analogs in Bermudagrass ," KR Harris, BM Schwartz, AH Paterson, JA Brady "," Journal of the American Society for Horticultural Science 135 (1), 74",2010
A GCP Challenge Initiative: Drought Tolerance Improvement for Sorghum in Africa ," A Borrell, AH Paterson, CT Hash, C Billot, DR Jordan, D Lespinasse, ... ", ,2010
A GCP challenge initiative: Drought tolerance improvement for sorghum in Africa:[Abstract W144] ," JF Rami, N Teme, M Vaksmann, D Lespinasse, C Billot, S Bouchet, ... ", ,2010
"The Sugarcane genome sequencing effort: An overview of the strategy, goals and existing data:[Abstract W538] "," G Souza, R Ming, R Henry, A D'Hont, F Potier, AH Paterson ", ,2010
The genome of the mesopolyploid crop species Brassica rapa ," Brassica rapa Genome Sequencing Project Consortium, X Wang, H Wang, ... "," Nature genetics 43 (10), 1035-1039",2011
Azospirillum Genomes Reveal Transition of Bacteria from Aquatic to Terrestrial Environments ," F Wisniewski-Dyé, K Borziak, G Khalsa-Moyers, G Alexandre, ... "," PLoS genetics 7 (12), e1002430",2011
"Modes of gene duplication contribute differently to genetic novelty and redundancy, but show parallels across divergent angiosperms "," Y Wang, X Wang, H Tang, X Tan, SP Ficklin, FA Feltus, AH Paterson "," PloS one 6 (12), e28150",2011
Genetic improvement of C4 grasses as cellulosic biofuel feedstocks ," K Jakob, F Zhou, AH Paterson "," Biofuels: Global Impact on Renewable Energy, Production Agriculture, and …",2011
Screening synteny blocks in pairwise genome comparisons through integer programming ," H Tang, E Lyons, B Pedersen, JC Schnable, AH Paterson, M Freeling "," BMC bioinformatics 12 (1), 1-11",2011
The sugarcane genome challenge: strategies for sequencing a highly complex genome ," GM Souza, H Berges, S Bocs, R Casu, A D’Hont, JE Ferreira, R Henry, ... "," Tropical plant biology 4, 145-156",2011
Recombination in avian gamma-coronavirus infectious bronchitis virus ," SW Thor, DA Hilt, JC Kissinger, AH Paterson, MW Jackwood "," Viruses 3 (9), 1777-1799",2011
"Seventy million years of concerted evolution of a homoeologous chromosome pair, in parallel, in major Poaceae lineages "," X Wang, H Tang, AH Paterson "," The Plant Cell 23 (1), 27-37",2011
Comparative analysis of serine/arginine-rich proteins across 27 eukaryotes: insights into sub-family classification and extent of alternative splicing ," DN Richardson, MF Rogers, A Labadorf, A Ben-Hur, H Guo, AH Paterson, ... "," PloS one 6 (9), e24542",2011
Attenuated live vaccine usage affects accurate measures of virus diversity and mutation rates in avian coronavirus infectious bronchitis virus ," ET McKinley, MW Jackwood, DA Hilt, JC Kissinger, JS Robertson, ... "," Virus research 158 (1-2), 225-234",2011
Comparative analysis of peanut NBS‐LRR gene clusters suggests evolutionary innovation among duplicated domains and erosion of gene microsynteny ," MB Ratnaparkhe, X Wang, J Li, RO Compton, LK Rainville, C Lemke, ... "," New Phytologist 192 (1), 164-178",2011
Metabolite and mineral analyses of cotton near‐isogenic lines introgressed with QTLs for productivity and drought‐related traits ," A Levi, AH Paterson, I Cakmak, Y Saranga "," Physiologia plantarum 141 (3), 265-275",2011
Parallel up-regulation of the profilin gene family following independent domestication of diploid and allopolyploid cotton (Gossypium) ," Y Bao, G Hu, LE Flagel, A Salmon, M Bezanilla, AH Paterson, Z Wang, ... "," Proceedings of the National Academy of Sciences 108 (52), 21152-21157",2011
"QTL alleles for improved fiber quality from a wild Hawaiian cotton, Gossypium tomentosum "," Z Zhang, J Rong, VN Waghmare, PW Chee, OL May, RJ Wright, ... "," Theoretical and applied genetics 123, 1075-1088",2011
"QTL alleles for improved fiber quality from a wild Hawaiian cotton, Gossypium tomentosum "," Z Zhang, J Rong, VN Waghmare, PW Chee, OL May, RJ Wright, ... "," Theoretical and applied genetics 123, 1075-1088",2011
Micro‐collinearity and genome evolution in the vicinity of an ethylene receptor gene of cultivated diploid and allotetraploid coffee species (Coffea) ," Q Yu, R Guyot, A De Kochko, A Byers, R Navajas‐Pérez, BJ Langston, ... "," The Plant Journal 67 (2), 305-317",2011
Gene conversion in angiosperm genomes with an emphasis on genes duplicated by polyploidization ," XY Wang, AH Paterson "," Genes 2 (1), 1-20",2011
A physical map for the Amborella trichopodagenome sheds light on the evolution of angiosperm genome structure ," A Zuccolo, JE Bowers, JC Estill, Z Xiong, M Luo, A Sebastian, ... "," Genome biology 12, 1-14",2011
Dissecting genetic networks underlying complex phenotypes: the theoretical framework ," F Zhang, HQ Zhai, AH Paterson, JL Xu, YM Gao, TQ Zheng, RL Wu, BY Fu, ... "," PloS one 6 (1), e14541",2011
"Efficacy of qFL‐chr1, a Quantitative Trait Locus for Fiber Length in Cotton (Gossypium spp.) "," X Shen, Z Cao, R Singh, EL Lubbers, P Xu, CW Smith, AH Paterson, ... "," Crop science 51 (5), 2005-2010",2011
Genetic diversity analysis of maintainer and restorer accessions in upland cotton (Gossypium hirsutum L.) ," DR Sapkal, SR Sutar, PB Thakre, BR Patil, AH Paterson, VN Waghmare "," Journal of plant biochemistry and biotechnology 20, 20-28",2011
Genetic diversity analysis of maintainer and restorer accessions in upland cotton (Gossypium hirsutum L.) ," DR Sapkal, SR Sutar, PB Thakre, BR Patil, AH Paterson, VN Waghmare "," Journal of plant biochemistry and biotechnology 20, 20-28",2011
A physical map of Brassica oleracea shows complexity of chromosomal changes following recursive paleopolyploidizations ," X Wang, MJ Torres, G Pierce, C Lemke, LK Nelson, B Yuksel, JE Bowers, ... "," BMC genomics 12 (1), 1-15",2011
Comparative analysis of Gossypium and Vitis genomes indicates genome duplication specific to the Gossypium lineage ," L Lin, H Tang, RO Compton, C Lemke, LK Rainville, X Wang, J Rong, ... "," Genomics 97 (5), 313-320",2011
Paleo-green revolution for rice ," AH Paterson, ZK Li "," Proceedings of the National Academy of Sciences 108 (27), 10931-10932",2011
Physical Mapping in a Triplicated Genome: Mapping the Downy Mildew Resistance Locus Pp523 in Brassica oleracea L. ," JD Carlier, CS Alabaça, NH Sousa, PS Coelho, AA Monteiro, ... ", G3: Genes,2011
Genetic mapping of fall armyworm resistance in zoysiagrass ," RW Jessup, K Renganayaki, JA Reinert, AD Genovesi, MC Engelke, ... "," Crop science 51 (4), 1774-1783",2011
Marker-assisted breeding in Higher Plants ," M Rahman, M Asif, T Shaheen, N Tabbasam, Y Zafar, AH Paterson, ... "," Sustainable agriculture reviews 6, 39-76",2011
Use of diversity arrays technology markers for integration into a cotton reference map and anchoring to a recombinant inbred line map ," UK Reddy, J Rong, P Nimmakayala, G Vajja, MA Rahman, J Yu, ... "," Genome 54 (5), 349-359",2011
Inference of subgenomic origin of BACs in an interspecific hybrid sugarcane cultivar by overlapping oligonucleotide hybridizations ," C Kim, JS Robertson, AH Paterson "," Genome 54 (9), 727-737",2011
Size variation in homologous segments across divergent plant genomes ," L Lin, AH Paterson "," Mobile Genetic Elements 1 (2), 313-320",2011
Dissecting Genetic Networks Underlying Complex Phenotypes: The Theoretical ," F Zhang, HQ Zhai, AH Paterson, JL Xu, YM Gao ", ,2011
Recombination in Avian Gamma-Coronavirus Infectious Bronchitis Virus ," MW Jackwood, JC Kissinger, AH Paterson, DA Hilt, SW Thor ", ,2011
Marker-assisted selection for improving drought resistance in cotton. ," Y Saranga, A Levi, AH Paterson "," World Cotton Research Conference-5, Mumbai, India, 7-11 November 2011, 89-91",2011
MCScanX: a toolkit for detection and evolutionary analysis of gene synteny and collinearity ," Y Wang, H Tang, JD DeBarry, X Tan, J Li, X Wang, T Lee, H Jin, B Marler, ... "," Nucleic acids research 40 (7), e49-e49",2012
The tomato genome sequence provides insights into fleshy fruit evolution , xx Tomato Genome Consortium ," Nature 485 (7400), 635",2012
Repeated polyploidization of Gossypium genomes and the evolution of spinnable cotton fibres ," AH Paterson, JF Wendel, H Gundlach, H Guo, J Jenkins, D Jin, ... "," Nature 492 (7429), 423-427",2012
PGDD: a database of gene and genome duplication in plants ," TH Lee, H Tang, X Wang, AH Paterson "," Nucleic acids research 41 (D1), D1152-D1158",2012
Sequencing papaya X and Yh chromosomes reveals molecular basis of incipient sex chromosome evolution ," J Wang, JK Na, Q Yu, AR Gschwend, J Han, F Zeng, R Aryal, R VanBuren, ... "," Proceedings of the National Academy of Sciences 109 (34), 13710-13715",2012
Genome and gene duplications and gene expression divergence: a view from plants ," Y Wang, X Wang, AH Paterson "," Annals of the New York Academy of Sciences 1256 (1), 1-14",2012
Cotton genetic resources. A review ," T Shaheen, N Tabbasam, MA Iqbal, M Ashraf, Y Zafar, AH Paterson "," Agronomy for sustainable development 32, 419-432",2012
"SSR-based genetic maps of Miscanthus sinensis and M. sacchariflorus, and their comparison to sorghum "," C Kim, D Zhang, SA Auckland, LK Rainville, K Jakob, B Kronmiller, ... "," Theoretical and Applied Genetics 124, 1325-1338",2012
"SSR-based genetic maps of Miscanthus sinensis and M. sacchariflorus, and their comparison to sorghum "," C Kim, D Zhang, SA Auckland, LK Rainville, K Jakob, B Kronmiller, ... "," Theoretical and Applied Genetics 124, 1325-1338",2012
ur Rahman M ," AH Paterson, JF Wendel, H Gundlach, H Guo, J Jenkins, D Jin, ... "," Rainville LN, Rambani A, Reddy UK, Rong JK, Saranga Y, Scheffler BE …",2012
Rapid divergence and expansion of the X chromosome in papaya ," AR Gschwend, Q Yu, EJ Tong, F Zeng, J Han, R VanBuren, R Aryal, ... "," Proceedings of the National Academy of Sciences 109 (34), 13716-13721",2012
Construction of physical maps for the sex-specific regions of papaya sex chromosomes ," JK Na, J Wang, JE Murray, AR Gschwend, W Zhang, Q Yu, RN Pérez, ... "," BMC genomics 13, 1-11",2012
"Matita, a new retroelement from peanut: characterization and evolutionary context in the light of the Arachis A–B genome divergence "," S Nielen, BS Vidigal, SCM Leal-Bertioli, M Ratnaparkhe, AH Paterson, ... "," Molecular Genetics and Genomics 287, 21-38",2012
"Matita, a new retroelement from peanut: characterization and evolutionary context in the light of the Arachis A–B genome divergence "," S Nielen, BS Vidigal, SCM Leal-Bertioli, M Ratnaparkhe, AH Paterson, ... "," Molecular Genetics and Genomics 287, 21-38",2012
The cytonuclear dimension of allopolyploid evolution: an example from cotton using rubisco ," L Gong, A Salmon, MJ Yoo, KK Grupp, Z Wang, AH Paterson, JF Wendel "," Molecular biology and evolution 29 (10), 3023-3036",2012
